PPGDP_2018
Aruba,
Afghanistan,563.825662667794
Angola,3229.61973975117
Albania,5079.40111990631
Andorra,44569.7830090145
Arab World,6452.47330369676
United Arab Emirates,40782.4436240123
Argentina,10043.5085520823
Armenia,4406.70643395879
American Samoa,9271.71200951825
Antigua and Barbuda,15134.8841569088
Australia,56842.3055122125
Austria,50019.8702125281
Azerbaijan,5768.99240538437
Burundi,210.804225834169
Belgium,47166.4843582889
Benin,897.198783313794
Burkina Faso,712.036087765552
Bangladesh,1203.21626488899
Bulgaria,8651.09480143084
Bahrain,21438.4099004451
"Bahamas, The",27261.2144822129
Bosnia and Herzegovina,6032.24619878815
Belarus,6744.49866958786
Belize,4248.99905543377
Bermuda,
Bolivia,2559.51131656583
Brazil,11026.2412096851
Barbados,16018.0411266686
Brunei Darussalam,31436.8681969939
Bhutan,3128.00090457946
Botswana,8031.01380349216
Central African Republic,378.995277100776
Canada,51391.7084172258
Central Europe and the Baltics,16276.0871743109
Switzerland,79214.3547914834
Channel Islands,
Chile,15130.1543224458
China,7752.5595253168
Cote d'Ivoire,1692.54454993513
Cameroon,1500.70389669986
"Congo, Dem. Rep.",418.738623106015
"Congo, Rep.",2651.70071944626
Colombia,7691.74556389965
Comoros,1401.37219852531
Cabo Verde,3759.55324881898
Costa Rica,9889.74351494095
Caribbean small states,8959.47708784592
Cuba,6816.89680904415
Curacao,
Cayman Islands,
Cyprus,30926.4517164312
Czech Republic,23358.8729537639
Germany,47477.8381544914
Djibouti,
Dominica,6694.34637135228
Denmark,63873.4640136784
Dominican Republic,7697.72362298411
Algeria,4764.37563637977
East Asia & Pacific (excluding high income),6469.00532353847
Early-demographic dividend,3647.63919402273
East Asia & Pacific,10262.4797451395
Europe & Central Asia (excluding high income),9552.61887166233
Europe & Central Asia,26283.7416797929
Ecuador,5185.09146085163
"Egypt, Arab Rep.",2907.31758471118
Euro area,40952.8223664951
Eritrea,
Spain,32949.5819818571
Estonia,19954.1301112109
Ethiopia,570.305676779185
European Union,37472.8570728249
Fragile and conflict affected situations,1597.22953080243
Finland,48749.0831062822
Fiji,4795.19449948042
France,43663.5849237297
Faroe Islands,
"Micronesia, Fed. Sts.",2728.62485534926
Gabon,9042.45986720758
United Kingdom,43324.5929697405
Georgia,4721.30288680934
Ghana,1807.06353938242
Gibraltar,
Guinea,896.828042811022
"Gambia, The",786.373247321282
Guinea-Bissau,622.079825379886
Equatorial Guinea,10254.993251219
Greece,23558.0839659892
Grenada,9096.32995901451
Greenland,49310.0067114908
Guatemala,3159.96747721481
Guam,31477.266910582
Guyana,3992.22625949241
High income,43558.7020624771
"Hong Kong SAR, China",38781.7854279926
Honduras,2219.31966487966
Heavily indebted poor countries (HIPC),905.619651683376
Croatia,15889.6039129594
Haiti,730.296713024986
Hungary,16647.7472023211
IBRD only,6003.32043399446
IDA & IBRD total,4796.16226505133
IDA total,1287.52691417174
IDA blend,1783.57236896186
Indonesia,4284.65253543916
IDA only,1028.99945962479
Isle of Man,
India,2100.80078047205
Not classified,
Ireland,76880.8076965505
"Iran, Islamic Rep.",
Iraq,5477.69614815968
Iceland,52103.1703035501
Israel,34745.7666176869
Italy,35431.8565490753
Jamaica,4855.26207081811
Jordan,3266.74698529318
Japan,48919.798941967
Kazakhstan,11165.5443580599
Kenya,1202.13302276731
Kyrgyz Republic,1087.20406151981
Cambodia,1205.04094079918
Kiribati,1762.30586135033
St. Kitts and Nevis,16942.6664176757
"Korea, Rep.",26761.9413808055
Kuwait,33112.1304072421
Latin America & Caribbean (excluding high income),8849.5921485854
Lao PDR,1785.57679801882
Lebanon,6249.76665455924
Liberia,541.271324140142
Libya,7536.7543225873
St. Lucia,8485.27171394218
Latin America & Caribbean,9224.7420657905
Least developed countries: UN classification,957.334819684082
Low income,739.755788254883
Liechtenstein,
Sri Lanka,3936.45024606602
Lower middle income,2261.7510736553
Low & middle income,4662.03238588314
Lesotho,1411.67649658701
Late-demographic dividend,8636.25998909611
Lithuania,17708.5280356416
Luxembourg,110742.316043137
Latvia,16268.9532242356
"Macao SAR, China",58641.6276638714
St. Martin (French part),
Morocco,3357.35910150118
Monaco,195879.63737503
Moldova,2668.65769239385
Madagascar,490.09731216025
Maldives,8033.32562707311
Middle East & North Africa,7839.0684733916
Mexico,10403.540397147
Marshall Islands,3066.98104378652
Middle income,5148.60835433849
North Macedonia,5394.28847819909
Mali,777.860597486563
Malta,28594.3001417741
Myanmar,1571.90721650413
Middle East & North Africa (excluding high income),
Montenegro,8244.1275091604
Mongolia,4210.04229303741
Northern Mariana Islands,18577.7914891156
Mozambique,591.439276354777
Mauritania,1334.46041821367
Mauritius,10578.617321172
Malawi,516.754055180455
Malaysia,12120.0832647974
North America,54261.0806654224
Namibia,6044.52843251455
New Caledonia,
Niger,403.485286590113
Nigeria,2396.31091419546
Nicaragua,1860.43853312621
Netherlands,55022.918199869
Norway,92077.574309644
Nepal,817.446886047779
Nauru,10910.098281157
New Zealand,37997.3539814059
OECD members,39973.5066876255
Oman,15796.7730860886
Other small states,13743.0642736848
Pakistan,1197.84274427141
Panama,11723.9305639817
Peru,6453.56052508568
Philippines,3021.98686253681
Palau,12260.2233356517
Papua New Guinea,2416.93307958171
Poland,16659.3321065175
Pre-demographic dividend,1492.92961923076
Puerto Rico,27340.6541656856
"Korea, Dem. People’s Rep.",
Portugal,23994.6624298675
Paraguay,5396.48081204328
West Bank and Gaza,2680.31812267179
Pacific island small states,3373.67397618357
Post-demographic dividend,44018.1009777987
French Polynesia,
Qatar,63260.5584959583
Romania,11532.0634852715
Russian Federation,11729.0943743777
Rwanda,824.518848408768
South Asia,1888.0465709665
Saudi Arabia,20819.7445742964
Sudan,1855.62629215613
Senegal,1546.52015893317
Singapore,58247.8726396071
Solomon Islands,1482.60671759695
