n,theta,t.pval,w.pval
20,0,0.860798247294253,0.867584096826734
20,0,0.639910249301247,0.726588491116711
20,0,0.316236962094802,0.369031103172903
20,0,0.70453585615759,0.752738251751648
20,0,0.230580395405191,0.255830621850838
20,0,0.122224387666583,0.150626319405639
20,0,0.0436478056187703,0.0482497762180501
20,0,0.893920264845333,0.899402759781441
20,0,0.332745183668987,0.358975138029159
20,0,0.889637292736517,0.929147484629421
20,0,0.181368223438773,0.199151161396652
20,0,0.77812985426929,0.769415611991904
20,0,0.804692531522403,0.793236844242793
20,0,0.857800094215474,0.842957865154025
20,0,0.1436062269355,0.206763155757207
20,0,0.38920973011889,0.420506366371337
20,0,0.00812321952681814,0.00608279037693363
20,0,0.779519793352689,0.800848838603348
20,0,0.018543088483752,0.0175053300990332
20,0,0.265998138226514,0.255830621850838
20,0,0.498283522759711,0.484001197644376
20,0,0.124036741983023,0.150626319405639
20,0,0.211796134041386,0.19170664095218
20,0,0.613388293139684,0.650986224398712
20,0,0.454561584646742,0.399703593580849
20,0,0.444784025753151,0.410074048159844
20,0,0.182673675778219,0.184431197772108
20,0,0.655154269639053,0.526652265555395
20,0,0.902633387073078,0.908684580723561
20,0,0.100288910368222,0.12113481074162
20,0,0.0605352069469993,0.0746417802325332
20,0,0.180484669093994,0.247261748248352
20,0,0.316844176656605,0.310232530902841
20,0,0.204789175987018,0.115749358105599
20,0,0.682254764357936,0.650986224398712
20,0,0.293737820917854,0.23884526168223
20,0,0.103192438475318,0.0958756592721868
20,0,0.971802013126642,0.977022885065638
20,0,0.551489169843796,0.579493633628663
20,0,0.68960961460042,0.66084689829914
20,0,0.79341035192599,0.777517987579892
20,0,0.200256041926744,0.282415818426845
20,0,0.135783839838664,0.100597240218559
20,0,0.84063644065334,0.867584096826734
20,0,0.322861391910564,0.282415818426845
20,0,0.623992890951594,0.680243058796524
20,0,0.857168599592733,0.842957865154025
20,0,0.699566956736944,0.680243058796524
20,0,0.786377778458082,0.793236844242793
20,0,0.0241303976874164,0.0317162230520068
20,0,0.124005467321117,0.12668994942052
20,0,0.94814147667493,0.945961463043245
20,0,0.333966827369412,0.329398928871773
20,0,0.658722769183572,0.620824521840143
20,0,0.175620019998612,0.177326101717938
20,0,0.191653016065183,0.23884526168223
20,0,0.466982799283108,0.494665816562126
20,0,0.657670436408838,0.630968896827097
20,0,0.724219407934411,0.735451538546765
20,0,0.887086276085178,0.867584096826734
20,0,0.563357801568614,0.53728710757535
20,0,0.892109729194973,0.87331005057948
20,0,0.996945460508053,0.993917209623066
20,0,0.393187182807361,0.430993529649041
20,0,0.172119581743418,0.19170664095218
20,0,0.427959490117105,0.430993529649041
20,0,0.0770273814015425,0.0708525153705789
20,0,0.207104577818621,0.19170664095218
20,0,0.924946417771765,0.945961463043245
20,0,0.973533331884251,0.979912457551864
20,0,0.953374187986147,0.972055780548309
20,0,0.330118740927684,0.319756941203476
20,0,0.0862024104826295,0.10548216362406
20,0,0.65069257353879,0.610598182192224
20,0,0.909773837469972,0.929147484629421
20,0,0.772218497671164,0.793236844242793
20,0,0.378970735922021,0.410074048159844
20,0,0.676220007905832,0.66084689829914
20,0,0.414208247998572,0.420506366371337
20,0,0.497252817182888,0.505334183437874
20,0,0.438790086643001,0.452104018936732
20,0,0.341637630587586,0.33915310170086
20,0,0.0296208707419588,0.0708525153705789
20,0,0.144524565503491,0.23884526168223
20,0,0.820459944392823,0.744169378149162
20,0,0.0822750678707015,0.0637095352141055
20,0,0.540856796611253,0.53728710757535
20,0,0.652186219831181,0.558471511078272
20,0,0.311382438806167,0.300830942817208
20,0,0.194386929669253,0.150626319405639
20,0,0.834119780058636,0.867584096826734
20,0,0.217859883381551,0.199151161396652
20,0,0.725769597266124,0.744169378149162
20,0,0.662066841786825,0.670601071128227
20,0,0.424371812080901,0.558471511078272
20,0,0.5607459031153,0.589925951840156
20,0,0.562438412485574,0.515998802355624
20,0,0.672696856572793,0.689767469097159
20,0,0.381617582748671,0.369031103172903
20,0,0.638853382315177,0.689767469097159
20,0,0.00226944945832279,0.00194250287107085
20,0,0.538204163289422,0.589925951840156
20,0,0.442985345455392,0.358975138029159
20,0,0.768561511920251,0.800848838603348
20,0,0.955187807671137,0.939650147122218
20,0,0.960875907479153,0.959511846951998
20,0,0.0298354840994461,0.0429570099928469
20,0,0.0756007101936385,0.0672094209140202
20,0,0.742276712227925,0.785459179711247
20,0,0.105085936846243,0.0958756592721868
20,0,0.535656519099239,0.389401817807776
20,0,0.82414472388528,0.861686469277029
20,0,0.90834323853651,0.913085693825163
20,0,0.659475643795472,0.680243058796524
20,0,0.27782442069228,0.255830621850838
20,0,0.052178709671646,0.0540385369567553
20,0,0.823065839461363,0.884250641894401
20,0,0.544271433494667,0.569006470350959
20,0,0.21221936663241,0.282415818426845
20,0,0.0724637217126489,0.12113481074162
20,0,0.263521570028039,0.19170664095218
20,0,0.506976993649585,0.452104018936732
20,0,0.205003066347253,0.247261748248352
20,0,0.154976986286347,0.138313530722971
20,0,0.854315135155566,0.855616468137627
20,0,0.125171235739415,0.0958756592721868
20,0,0.167078653259071,0.230584388008096
20,0,0.159184918765516,0.184431197772108
20,0,0.418614429944341,0.420506366371337
20,0,0.868418968060138,0.87886518925838
20,0,0.361038077662009,0.358975138029159
20,0,0.742137573389174,0.689767469097159
20,0,0.9775274674217,0.975454837405314
20,0,0.150489264482266,0.199151161396652
20,0,0.576703638078273,0.441528488921728
20,0,0.960608996862495,0.966249427462369
20,0,0.289580301363968,0.206763155757207
20,0,0.957882392738762,0.961866904868791
20,0,0.686863075362434,0.717584181573155
20,0,0.370869947674923,0.291557114096651
20,0,0.188272117737939,0.138313530722971
20,0,0.0270161650267765,0.0317162230520068
20,0,0.0796897814621852,0.0826700097024612
20,0,0.549208507438192,0.610598182192224
20,0,0.322112786352911,0.430993529649041
20,0,0.563945116460536,0.569006470350959
20,0,0.576173986317045,0.610598182192224
20,0,0.0494347863042326,0.0603498528777825
20,0,0.00313040119945807,0.00366540856215374
20,0,0.20647047277955,0.184431197772108
20,0,0.846613318316103,0.836369082238889
20,0,0.0603952936684632,0.0404881530480022
20,0,0.138879583044919,0.10548216362406
20,0,0.752927936424113,0.735451538546765
20,0,0.0422036986801761,0.045543074662386
20,0,0.42080256963868,0.452104018936732
20,0,0.925549371896416,0.942872759732072
20,0,0.110641167061558,0.12113481074162
20,0,0.548521836915425,0.589925951840156
20,0,0.250770031912194,0.255830621850838
20,0,0.475040600280214,0.505334183437874
20,0,0.631054790409308,0.630968896827097
20,0,0.127631957170832,0.144383531862373
20,0,0.124701661947163,0.115749358105599
20,0,0.0443760254356719,0.0603498528777825
20,0,0.744411066394284,0.769415611991904
20,0,0.449075321388546,0.484001197644376
20,0,0.333626826741058,0.33915310170086
20,0,0.815258445690827,0.800848838603348
20,0,0.991445911523996,0.986835431348659
20,0,0.616885053922416,0.680243058796524
20,0,0.72631765875907,0.699169057182792
20,0,0.44635030587377,0.452104018936732
20,0,0.0941081690944183,0.0826700097024612
20,0,0.470450642010836,0.515998802355624
20,0,0.248085836839061,0.23884526168223
20,0,0.439349172794779,0.410074048159844
20,0,0.122658972891922,0.177326101717938
20,0,0.565388157433096,0.515998802355624
20,0,0.723232912082089,0.726588491116711
20,0,0.110283905372464,0.115749358105599
20,0,0.409261884804976,0.399703593580849
20,0,0.594981062068516,0.610598182192224
20,0,0.472366001220967,0.494665816562126
20,0,0.312332126710793,0.300830942817208
20,0,0.953536748975714,0.968283776947993
20,0,0.723609803696933,0.708442885903349
20,0,0.471371640780193,0.494665816562126
